year,crop_id,treat,variance,seeding,harvest,harvest2,tillage,minimum_cover,total_dm_kg_ha,total_dm_kg_ha2,grain_dm_kg_ha,straw_dm_kg_ha
1957,spring_small_grains,111,250,125,277,0,295,0,5852.79805352798,,2405.5,
1957,spring_small_grains,144,250,125,277,0,295,0,8417.27493917276,,3459.5,
1957,spring_small_grains,211,250,125,277,0,295,0,5748.33702882482,,2592.5,
1957,spring_small_grains,244,250,125,277,0,295,0,7896.89578713969,,3561.5,
1958,ley,111,250,163,253,0,295,0.3,10592.8853754941,,5360,
1958,ley,144,250,163,253,0,295,0.3,7806.32411067193,,3950,
1958,winter_oil_seeds,211,250,155,291,0,295,0,1713.63636363636,,263.9,
1958,winter_oil_seeds,244,250,155,291,0,295,0,5554.54545454545,,855.4,
1959,winter_small_grains,111,250,1,247,0,295,0.3,8790.37267080745,,2830.5,
1959,winter_small_grains,144,250,1,247,0,295,0.3,12195.652173913,,3927,
1959,winter_small_grains,211,250,1,247,0,295,0.3,6414.59627329193,,2065.5,
1959,winter_small_grains,244,250,1,247,0,295,0.3,11482.9192546584,,3697.5,
1960,root_crop,111,250,125,289,0,295,0,3732.875,,7175,
1960,root_crop,144,250,125,289,0,295,0,3732.875,,12000,
1960,root_crop,211,250,125,289,0,295,0,3732.875,,6450,
1960,root_crop,244,250,125,289,0,295,0,3732.875,,11825,
1961,spring_small_grains,111,250,125,277,0,295,0,3226.27737226278,,1326,
1961,spring_small_grains,144,250,125,277,0,295,0,6618.00486618005,,2720,
1961,spring_small_grains,211,250,125,277,0,295,0,3788.24833702882,,1708.5,
1961,spring_small_grains,244,250,125,277,0,295,0,6031.04212860311,,2720,
1962,ley,111,250,163,253,0,295,0.3,11086.9565217391,,5610,
1962,ley,144,250,163,253,0,295,0.3,13438.7351778656,,6800,
1962,winter_oil_seeds,211,250,155,291,0,295,0,4254.54545454545,,655.2,
1962,winter_oil_seeds,244,250,155,291,0,295,0,10045.4545454545,,1547,
1963,winter_small_grains,111,250,1,247,0,295,0.3,4276.39751552796,,1377,
1963,winter_small_grains,144,250,1,247,0,295,0.3,9318.32298136647,,3000.5,
1963,winter_small_grains,211,250,1,247,0,295,0.3,3801.24223602484,,1224,
1963,winter_small_grains,244,250,1,247,0,295,0.3,9107.14285714287,,2932.5,
1964,root_crop,111,250,125,289,0,295,0,3732.875,,3300,
1964,root_crop,144,250,125,289,0,295,0,3732.875,,11070,
1964,root_crop,211,250,125,289,0,295,0,3732.875,,2680,
1964,root_crop,244,250,125,289,0,295,0,3732.875,,9250,
1965,spring_small_grains,111,250,125,277,0,295,0,4405.10948905109,,1810.5,
1965,spring_small_grains,144,250,125,277,0,295,0,7962.28710462287,,3272.5,
1965,spring_small_grains,211,250,125,277,0,295,0,3562.0842572062,,1606.5,
1965,spring_small_grains,244,250,125,277,0,295,0,7708.42572062084,,3476.5,
1966,ley,111,250,163,253,0,295,0.3,5296.44268774705,,2680,
1966,ley,144,250,163,253,0,295,0.3,8379.4466403162,,4240,
1966,winter_oil_seeds,211,250,155,291,0,295,0,2718.18181818182,,418.6,
1966,winter_oil_seeds,244,250,155,291,0,295,0,11286.3636363636,,1738.1,
1967,winter_small_grains,111,250,1,247,0,295,0.3,8183.2298136646,,2635,
1967,winter_small_grains,144,250,1,247,0,295,0.3,14940.9937888199,,4811,
1967,winter_small_grains,211,250,1,247,0,295,0.3,4672.3602484472,,1504.5,
1967,winter_small_grains,244,250,1,247,0,295,0.3,14149.0683229814,,4556,
1968,root_crop,111,250,125,289,0,295,0,3732.875,,5630,
1968,root_crop,144,250,125,289,0,295,0,3732.875,,12800,
1968,root_crop,211,250,125,289,0,295,0,3732.875,,4230,
1968,root_crop,244,250,125,289,0,295,0,3732.875,,11600,
1969,spring_small_grains,111,250,125,277,0,295,0,4942.82238442822,,2031.5,
1969,spring_small_grains,144,250,125,277,0,295,0,9472.0194647202,,3893,
1969,spring_small_grains,211,250,125,277,0,295,0,3260.53215077604,,1470.5,
1969,spring_small_grains,244,250,125,277,0,295,0,8085.36585365853,,3646.5,
1970,ley,111,250,163,253,0,295,0.3,5256.91699604742,,2660,
1970,ley,144,250,163,253,0,295,0.3,8498.02371541502,,4300,
1970,winter_oil_seeds,211,250,155,291,0,295,0,4372.72727272727,,673.4,
1970,winter_oil_seeds,244,250,155,291,0,295,0,13650,,2102.1,
1971,winter_small_grains,111,250,1,247,0,295,0.3,5965.83850931678,,1921,
1971,winter_small_grains,144,250,1,247,0,295,0.3,11931.6770186335,,3842,
1971,winter_small_grains,211,250,1,247,0,295,0.3,6071.42857142858,,1955,
1971,winter_small_grains,244,250,1,247,0,295,0.3,12618.0124223602,,4063,
1972,root_crop,111,250,125,289,0,295,0,3732.875,,6073.8,
1972,root_crop,144,250,125,289,0,295,0,3732.875,,10609.28,
1972,root_crop,211,250,125,289,0,295,0,3732.875,,4238.44,
1972,root_crop,244,250,125,289,0,295,0,3732.875,,10718.8,
1973,spring_small_grains,111,250,125,277,0,295,0,4487.83454987836,,1844.5,
1973,spring_small_grains,144,250,125,277,0,295,0,7900.24330900244,,3247,
1973,spring_small_grains,211,250,125,277,0,295,0,4636.36363636365,,2091,
1973,spring_small_grains,244,250,125,277,0,295,0,7331.48558758316,,3306.5,
1974,ley,111,250,163,253,0,295,0.3,7035.57312252964,,3560,
1974,ley,144,250,163,253,0,295,0.3,11017.7865612648,,5575,
1974,winter_oil_seeds,211,250,155,291,0,295,0,3900,,600.6,
1974,winter_oil_seeds,244,250,155,291,0,295,0,12409.0909090909,,1911,
