ID,year,recorded_crop,crop_id,treat,variance,seeding,harvest,harvest2,tillage,minimum_cover,total_dm_kg_ha,total_dm_kg_ha2,grain_dm_kg_ha,straw_dm_kg_ha
1,1956,Oat,missing,1,250,136,283,0,295,0,2246,0,2246,0
2,1956,Oat,missing,1,250,136,283,0,295,0,2246,0,2246,0
3,1956,Oat,missing,1,250,136,283,0,295,0,2246,0,2246,0
4,1956,Oat,missing,1,250,136,283,0,295,0,2246,0,2246,0
5,1956,Oat,spring_small_grains,2,250,136,283,0,295,0,2246,0,2246,0
6,1956,Oat,spring_small_grains,2,250,136,283,0,295,0,2246,0,2246,0
7,1956,Oat,spring_small_grains,2,250,136,283,0,295,0,2246,0,2246,0
8,1956,Oat,spring_small_grains,2,250,136,283,0,295,0,2246,0,2246,0
9,1956,Oat,spring_small_grains,3,250,136,283,0,295,0,2246,0,2246,0
10,1956,Oat,spring_small_grains,3,250,136,283,0,295,0,2246,0,2246,0
11,1956,Oat,spring_small_grains,3,250,136,283,0,295,0,2246,0,2246,0
12,1956,Oat,spring_small_grains,3,250,136,283,0,295,0,2246,0,2246,0
13,1956,Oat,spring_small_grains,4,250,136,283,0,295,0,2246,0,2246,0
14,1956,Oat,spring_small_grains,4,250,136,283,0,295,0,2246,0,2246,0
15,1956,Oat,spring_small_grains,4,250,136,283,0,295,0,2246,0,2246,0
16,1956,Oat,spring_small_grains,4,250,136,283,0,295,0,2246,0,2246,0
17,1956,Oat,spring_small_grains,5,250,136,283,0,295,0,2246,0,2246,0
18,1956,Oat,spring_small_grains,5,250,136,283,0,295,0,2246,0,2246,0
19,1956,Oat,spring_small_grains,5,250,136,283,0,295,0,2246,0,2246,0
20,1956,Oat,spring_small_grains,5,250,136,283,0,295,0,2246,0,2246,0
21,1956,Oat,spring_small_grains,6,250,136,283,0,295,0,2246,0,2246,0
22,1956,Oat,spring_small_grains,6,250,136,283,0,295,0,2246,0,2246,0
23,1956,Oat,spring_small_grains,6,250,136,283,0,295,0,2246,0,2246,0
24,1956,Oat,spring_small_grains,6,250,136,283,0,295,0,2246,0,2246,0
25,1956,Oat,spring_small_grains,7,250,136,283,0,295,0,2246,0,2246,0
26,1956,Oat,spring_small_grains,7,250,136,283,0,295,0,2246,0,2246,0
