"","year","treat","amended_bool","amendment_C_kg_ha"
"1",1956,1,FALSE,NA
"2",1956,2,FALSE,NA
"3",1956,3,FALSE,NA
"4",1956,4,FALSE,NA
"5",1956,5,TRUE,3000
"6",1956,6,TRUE,3000
"7",1956,7,TRUE,3000
"8",1956,8,TRUE,3000
"9",1956,9,TRUE,3000
"10",1956,10,TRUE,3000
"11",1956,11,TRUE,3000
"12",1956,12,TRUE,3000
"13",1956,13,TRUE,3000
"14",1956,14,TRUE,3000
"15",1956,15,TRUE,3000
"16",1957,1,FALSE,NA
"17",1957,2,FALSE,NA
"18",1957,3,FALSE,NA
"19",1957,4,FALSE,NA
"20",1957,5,FALSE,NA
"21",1957,6,FALSE,NA
"22",1957,7,FALSE,NA
"23",1957,8,FALSE,NA
"24",1957,9,FALSE,NA
"25",1957,10,FALSE,NA
"26",1957,11,FALSE,NA
"27",1957,12,FALSE,NA
"28",1957,13,FALSE,NA
"29",1957,14,FALSE,NA
"30",1957,15,FALSE,NA
"31",1958,1,FALSE,NA
"32",1958,2,FALSE,NA
"33",1958,3,FALSE,NA
"34",1958,4,FALSE,NA
"35",1958,5,FALSE,NA
"36",1958,6,FALSE,NA
"37",1958,7,FALSE,NA
"38",1958,8,FALSE,NA
"39",1958,9,FALSE,NA
"40",1958,10,FALSE,NA
"41",1958,11,FALSE,NA
"42",1958,12,FALSE,NA
"43",1958,13,FALSE,NA
"44",1958,14,FALSE,NA
"45",1958,15,FALSE,NA
"46",1959,1,FALSE,NA
"47",1959,2,FALSE,NA
"48",1959,3,FALSE,NA
"49",1959,4,FALSE,NA
"50",1959,5,FALSE,NA
"51",1959,6,FALSE,NA
"52",1959,7,FALSE,NA
"53",1959,8,FALSE,NA
"54",1959,9,FALSE,NA
"55",1959,10,FALSE,NA
"56",1959,11,FALSE,NA
"57",1959,12,FALSE,NA
"58",1959,13,FALSE,NA
"59",1959,14,FALSE,NA
"60",1959,15,FALSE,NA
"61",1960,1,FALSE,NA
"62",1960,2,FALSE,NA
"63",1960,3,FALSE,NA
"64",1960,4,FALSE,NA
"65",1960,5,TRUE,3000
"66",1960,6,TRUE,3000
"67",1960,7,TRUE,3000
"68",1960,8,TRUE,3000
"69",1960,9,TRUE,3000
"70",1960,10,TRUE,3000
"71",1960,11,TRUE,3000
"72",1960,12,TRUE,3000
"73",1960,13,TRUE,3000
"74",1960,14,TRUE,3000
"75",1960,15,TRUE,3000
"76",1961,1,FALSE,NA
"77",1961,2,FALSE,NA
"78",1961,3,FALSE,NA
"79",1961,4,FALSE,NA
"80",1961,5,FALSE,NA
"81",1961,6,FALSE,NA
"82",1961,7,FALSE,NA
"83",1961,8,FALSE,NA
"84",1961,9,FALSE,NA
"85",1961,10,FALSE,NA
"86",1961,11,FALSE,NA
"87",1961,12,FALSE,NA
"88",1961,13,FALSE,NA
"89",1961,14,FALSE,NA
"90",1961,15,FALSE,NA
"91",1962,1,FALSE,NA
"92",1962,2,FALSE,NA
"93",1962,3,FALSE,NA
"94",1962,4,FALSE,NA
"95",1962,5,FALSE,NA
"96",1962,6,FALSE,NA
"97",1962,7,FALSE,NA
"98",1962,8,FALSE,NA
"99",1962,9,FALSE,NA
"100",1962,10,FALSE,NA
"101",1962,11,FALSE,NA
"102",1962,12,FALSE,NA
"103",1962,13,FALSE,NA
"104",1962,14,FALSE,NA
"105",1962,15,FALSE,NA
"106",1963,1,FALSE,NA
"107",1963,2,FALSE,NA
"108",1963,3,FALSE,NA
"109",1963,4,FALSE,NA
"110",1963,5,TRUE,3000
"111",1963,6,TRUE,3000
"112",1963,7,TRUE,3000
"113",1963,8,TRUE,3000
"114",1963,9,TRUE,3000
"115",1963,10,TRUE,3000
"116",1963,11,TRUE,3000
"117",1963,12,TRUE,3000
"118",1963,13,TRUE,3000
"119",1963,14,TRUE,3000
"120",1963,15,TRUE,3000
"121",1964,1,FALSE,NA
"122",1964,2,FALSE,NA
"123",1964,3,FALSE,NA
"124",1964,4,FALSE,NA
"125",1964,5,FALSE,NA
"126",1964,6,FALSE,NA
"127",1964,7,FALSE,NA
"128",1964,8,FALSE,NA
"129",1964,9,FALSE,NA
"130",1964,10,FALSE,NA
"131",1964,11,FALSE,NA
"132",1964,12,FALSE,NA
"133",1964,13,FALSE,NA
"134",1964,14,FALSE,NA
"135",1964,15,FALSE,NA
"136",1965,1,FALSE,NA
"137",1965,2,FALSE,NA
"138",1965,3,FALSE,NA
"139",1965,4,FALSE,NA
"140",1965,5,TRUE,3000
"141",1965,6,TRUE,3000
"142",1965,7,TRUE,3000
"143",1965,8,TRUE,3000
