obs_id,year,crop_id,recorded_crop,plot,treat,N_conc,C_conc,grain_dm_kg_ha,straw_dm_kg_ha,amended_bool,amendment_C_kg_ha,failure_bool,forage_bool,,"Yield,","Straw+tops,",Yield_interp,Straw_interp,HI
1,1956,spring_small_grains,HAVRE,1,1,,1.48,0,0,F,,,0,1956,,,0,0,
2,1956,spring_small_grains,HAVRE,22,1,,1.48,0,0,F,,,0,1956,,,0,0,
3,1956,spring_small_grains,HAVRE,44,1,,1.48,0,0,F,,,0,1956,,,0,0,
4,1956,spring_small_grains,HAVRE,55,1,,1.48,0,0,F,,,0,1956,,,0,0,
5,1956,spring_small_grains,HAVRE,2,2,,1.49,1948,0,F,,,0,1956,,,1948.125,0,
6,1956,spring_small_grains,HAVRE,19,2,,1.49,1948,0,F,,,0,1956,,,1948.125,0,
7,1956,spring_small_grains,HAVRE,42,2,,1.49,1948,0,F,,,0,1956,,,1948.125,0,
8,1956,spring_small_grains,HAVRE,58,2,,1.49,1948,0,F,,,0,1956,,,1948.125,0,
9,1956,spring_small_grains,HAVRE,3,3,,1.5,3933,0,F,,,0,1956,,,3932.875,0,
10,1956,spring_small_grains,HAVRE,17,3,,1.5,3933,0,F,,,0,1956,,,3932.875,0,
11,1956,spring_small_grains,HAVRE,41,3,,1.5,3933,0,F,,,0,1956,,,3932.875,0,
12,1956,spring_small_grains,HAVRE,57,3,,1.5,3933,0,F,,,0,1956,,,3932.875,0,
13,1956,spring_small_grains,HAVRE,4,4,,1.56,3828,0,F,,,0,1956,,,3827.5,0,
14,1956,spring_small_grains,HAVRE,18,4,,1.56,3828,0,F,,,0,1956,,,3827.5,0,
15,1956,spring_small_grains,HAVRE,45,4,,1.56,3828,0,F,,,0,1956,,,3827.5,0,
16,1956,spring_small_grains,HAVRE,59,4,,1.56,3828,0,F,,,0,1956,,,3827.5,0,
17,1956,spring_small_grains,HAVRE,5,5,,1.49,3888,0,T,,,0,1956,,,3887.5625,0,
18,1956,spring_small_grains,HAVRE,20,5,,1.49,3888,0,T,,,0,1956,,,3887.5625,0,
19,1956,spring_small_grains,HAVRE,40,5,,1.49,3888,0,T,,,0,1956,,,3887.5625,0,
20,1956,spring_small_grains,HAVRE,60,5,,1.49,3888,0,T,,,0,1956,,,3887.5625,0,
21,1956,spring_small_grains,HAVRE,6,6,,1.51,2018,0,T,,,0,1956,,,2017.875,0,
22,1956,spring_small_grains,HAVRE,21,6,,1.51,2018,0,T,,,0,1956,,,2017.875,0,
23,1956,spring_small_grains,HAVRE,43,6,,1.51,2018,0,T,,,0,1956,,,2017.875,0,
24,1956,spring_small_grains,HAVRE,56,6,,1.51,2018,0,T,,,0,1956,,,2017.875,0,
25,1956,spring_small_grains,HAVRE,7,7,,1.53,4192,0,T,,,0,1956,,,4191.6875,0,
26,1956,spring_small_grains,HAVRE,16,7,,1.53,4192,0,T,,,0,1956,,,4191.6875,0,
27,1956,spring_small_grains,HAVRE,39,7,,1.53,4192,0,T,,,0,1956,,,4191.6875,0,
28,1956,spring_small_grains,HAVRE,54,7,,1.53,4192,0,T,,,0,1956,,,4191.6875,0,
29,1956,spring_small_grains,HAVRE,8,8,,1.45,3581,0,T,,,0,1956,,,3580.6875,0,
30,1956,spring_small_grains,HAVRE,29,8,,1.45,3581,0,T,,,0,1956,,,3580.6875,0,
31,1956,spring_small_grains,HAVRE,35,8,,1.45,3581,0,T,,,0,1956,,,3580.6875,0,
32,1956,spring_small_grains,HAVRE,50,8,,1.45,3581,0,T,,,0,1956,,,3580.6875,0,
33,1956,spring_small_grains,HAVRE,9,9,,1.47,2115,0,T,,,0,1956,,,2115.1875,0,
34,1956,spring_small_grains,HAVRE,28,9,,1.47,2115,0,T,,,0,1956,,,2115.1875,0,
35,1956,spring_small_grains,HAVRE,37,9,,1.47,2115,0,T,,,0,1956,,,2115.1875,0,
36,1956,spring_small_grains,HAVRE,47,9,,1.47,2115,0,T,,,0,1956,,,2115.1875,0,
37,1956,spring_small_grains,HAVRE,10,10,,1.49,3315,0,T,,,0,1956,,,3314.8125,0,
38,1956,spring_small_grains,HAVRE,25,10,,1.49,3315,0,T,,,0,1956,,,3314.8125,0,
39,1956,spring_small_grains,HAVRE,33,10,,1.49,3315,0,T,,,0,1956,,,3314.8125,0,
40,1956,spring_small_grains,HAVRE,49,10,,1.49,3315,0,T,,,0,1956,,,3314.8125,0,
41,1956,spring_small_grains,HAVRE,11,11,,1.5,3306,0,T,,,0,1956,,,3305.5625,0,
42,1956,spring_small_grains,HAVRE,27,11,,1.5,3306,0,T,,,0,1956,,,3305.5625,0,
43,1956,spring_small_grains,HAVRE,38,11,,1.5,3306,0,T,,,0,1956,,,3305.5625,0,
44,1956,spring_small_grains,HAVRE,48,11,,1.5,3306,0,T,,,0,1956,,,3305.5625,0,
45,1956,spring_small_grains,HAVRE,12,12,,1.46,1474,0,T,,,0,1956,,,1474.4375,0,
46,1956,spring_small_grains,HAVRE,26,12,,1.46,1474,0,T,,,0,1956,,,1474.4375,0,
47,1956,spring_small_grains,HAVRE,32,12,,1.46,1474,0,T,,,0,1956,,,1474.4375,0,
48,1956,spring_small_grains,HAVRE,51,12,,1.46,1474,0,T,,,0,1956,,,1474.4375,0,
49,1956,spring_small_grains,HAVRE,13,13,,1.53,4655,0,T,,,0,1956,,,4655.0625,0,
50,1956,spring_small_grains,HAVRE,24,13,,1.53,4655,0,T,,,0,1956,,,4655.0625,0,
51,1956,spring_small_grains,HAVRE,31,13,,1.53,4655,0,T,,,0,1956,,,4655.0625,0,
52,1956,spring_small_grains,HAVRE,52,13,,1.53,4655,0,T,,,0,1956,,,4655.0625,0,
53,1956,spring_small_grains,HAVRE,14,14,,1.52,4117,0,T,,,0,1956,,,4116.6875,0,
54,1956,spring_small_grains,HAVRE,30,14,,1.52,4117,0,T,,,0,1956,,,4116.6875,0,
55,1956,spring_small_grains,HAVRE,36,14,,1.52,4117,0,T,,,0,1956,,,4116.6875,0,
56,1956,spring_small_grains,HAVRE,46,14,,1.52,4117,0,T,,,0,1956,,,4116.6875,0,
57,1956,spring_small_grains,HAVRE,15,15,,1.54,5150,0,T,,,0,1956,,,5149.8717948718,0,
58,1956,spring_small_grains,HAVRE,23,15,,1.54,5150,0,T,,,0,1956,,,5149.8717948718,0,
59,1956,spring_small_grains,HAVRE,34,15,,1.54,5150,0,T,,,0,1956,,,5149.8717948718,0,
60,1956,spring_small_grains,HAVRE,53,15,,1.54,5150,0,T,,,0,1956,,,5149.8717948718,0,
61,1957,root_crop,KÅLROT,1,1,,,0,0,F,,,0,1957,,,,,
62,1957,root_crop,KÅLROT,22,1,,,0,0,F,,,0,1957,,,,,
63,1957,root_crop,KÅLROT,44,1,,,0,0,F,,,0,1957,,,,,
64,1957,root_crop,KÅLROT,55,1,,,0,0,F,,,0,1957,,,,,
65,1957,root_crop,KÅLROT,2,2,,,3763,1553,F,,,0,1957,3762.5,1553,,,2.42273019961365
66,1957,root_crop,KÅLROT,19,2,,,4125,1628,F,,,0,1957,4125,1628,,,2.53378378378378
67,1957,root_crop,KÅLROT,42,2,,,3565,1283,F,,,0,1957,3565,1283,,,2.77864380358535
68,1957,root_crop,KÅLROT,58,2,,,3750,1175,F,,,0,1957,3750,1175,,,3.19148936170213
69,1957,root_crop,KÅLROT,3,3,,,4028,1970,F,,,0,1957,4027.5,1970,,,2.04441624365482
70,1957,root_crop,KÅLROT,17,3,,,4258,2075,F,,,0,1957,4257.5,2075,,,2.05180722891566
71,1957,root_crop,KÅLROT,41,3,,,4520,1973,F,,,0,1957,4520,1973,,,2.2909275215408
72,1957,root_crop,KÅLROT,57,3,,,4538,2030,F,,,0,1957,4537.5,2030,,,2.23522167487685
73,1957,root_crop,KÅLROT,4,4,,,3875,1825,F,,,0,1957,3875,1825,,,2.12328767123288
74,1957,root_crop,KÅLROT,18,4,,,4245,1868,F,,,0,1957,4245,1868,,,2.27248394004283
75,1957,root_crop,KÅLROT,45,4,,,4835,2553,F,,,0,1957,4835,2553,,,1.89385037211124
76,1957,root_crop,KÅLROT,59,4,,,4183,1795,F,,,0,1957,4182.5,1795,,,2.33008356545961
77,1957,root_crop,KÅLROT,5,5,,,4000,1898,F,,,0,1957,4000,1898,,,2.10748155953635
78,1957,root_crop,KÅLROT,20,5,,,4858,2288,F,,,0,1957,4857.5,2288,,,2.12303321678322
79,1957,root_crop,KÅLROT,40,5,,,4588,1840,F,,,0,1957,4587.5,1840,,,2.49320652173913
80,1957,root_crop,KÅLROT,60,5,,,4108,1950,F,,,0,1957,4107.5,1950,,,2.10641025641026
81,1957,root_crop,KÅLROT,6,6,,,3110,1525,F,,,0,1957,3110,1525,,,2.03934426229508
82,1957,root_crop,KÅLROT,21,6,,,3683,1858,F,,,0,1957,3682.5,1858,,,1.98196986006459
83,1957,root_crop,KÅLROT,43,6,,,3470,1575,F,,,0,1957,3470,1575,,,2.2031746031746
84,1957,root_crop,KÅLROT,56,6,,,3725,1453,F,,,0,1957,3725,1453,,,2.56366139022712
85,1957,root_crop,KÅLROT,7,7,,,3700,1825,F,,,0,1957,3700,1825,,,2.02739726027397
86,1957,root_crop,KÅLROT,16,7,,,4418,2385,F,,,0,1957,4417.5,2385,,,1.85220125786164
87,1957,root_crop,KÅLROT,39,7,,,4483,1918,F,,,0,1957,4482.5,1918,,,2.33706986444213
